,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,V,Ga,Cu,Zn,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Th,Nb,Y,Hf,Ta,U,Pb,Rb,Cs,Sr,Sc,Zr,Latitude,Longitude,Rock_Type,Period,S_Domain,Color
G22042,39.89393204562624,1.670063141793899,15.77542226657589,8.58721401990319,0.1346543056734347,3.812290732053088,25.56857926300377,2.3021805836652085,1.57819509601843,0.6774685456868653,44.63245664015,106.99515988,193.75635,15.57175,42.6059,62.426300000000005,36.87223993009014,63.04655881497064,7.259272624667745,27.358286968888184,5.248658287026265,1.618362647016897,4.687011897929694,0.7056677110896608,4.014167982675851,0.7795559560600989,2.107993344387644,0.3063093996404344,1.798661257956339,0.2730246986289186,246.85676944250952,5.684206211346193,47.567344243405714,22.34222248214049,2.9575633145650064,2.965857957491608,0.8908899136927002,3.0881962303637605,35.29766348708638,0.7357694991117321,397.4412059643658,14.6203094293141,126.62660243070798,42.949828,42.192317,Basalt,Jurassic,Khaishi Limbs,#44AA99
G22044,49.636774836482346,1.358127806438398,15.851899649032692,12.04941772538798,0.1622706428103704,7.549246327684814,7.162089162889372,4.618929310917555,1.318541835366934,0.2927027029895367,48.8635324119,124.52344604,278.46070000000003,14.89515,81.2119,65.6103,20.611167077065367,40.31056749117769,4.800467738860178,19.330244826538,4.256708975083809,1.20890109272083,4.193563229786945,0.6789864398578602,3.902419244489935,0.7855527486105873,2.210616691121812,0.3284735551079621,1.9718020752606047,0.3169268817096528,743.3522869114864,3.2900703545283827,22.13047526784268,21.71438851840657,2.404376404211812,1.3822502372666632,0.799749082627664,1.149936605933398,25.305346881815236,0.5147670710070759,407.7160026497757,30.018425554798327,91.05055156548896,42.94182,42.16548,Mafic Intrusive,Jurassic,Khaishi Limbs,#44AA99
G22045,51.54841009816637,1.9108737032552063,18.07861505709468,10.068661138533225,0.1453747472077599,3.464713584086844,8.66593313376321,4.637136844865987,1.216988458126131,0.2632932349005941,12.998914180950004,2.44064744,407.8306,20.9348,64.70485000000001,77.26175,14.928405385096632,31.904360648791243,4.099476143460036,17.684292701595492,4.2557498580635205,1.4407631721693992,4.703304698755518,0.8000601177365224,4.743783699428985,0.9476691614021264,2.6892548463462105,0.4042045917785457,2.4417201209510044,0.3911916704760595,184.8953736831156,3.087224285767045,12.388202593684651,26.17505393676497,3.2445042532274657,0.8264852347866232,0.7581547782879656,2.189223907964839,30.759854257143186,0.3615304855238034,207.0906860205921,25.647672583893275,124.89255988202206,42.9291,42.192865,Mafic Intrusive,Jurassic,Khaishi Limbs,#44AA99
G22046C,56.0115253271099,1.0780616962889855,20.05927678465233,7.630868074865334,0.2338068404037936,2.352319691743575,6.425187704460438,4.821221346071625,1.0143059355006003,0.3734265989034007,4.7735804322,3.79309392,85.0113,19.3545,60.0534,62.9046,20.21451781940723,44.6432700205616,5.914098213429794,25.97868798598683,6.475401971553064,2.163527037620001,7.294894302761258,1.2718887816964548,7.611031264222346,1.6427409903374843,4.606666435622773,0.7055304934974829,4.293138866551976,0.6775676876883537,219.45674376332656,3.2994428817752537,9.188115574789762,45.11618156653484,4.7454418303645225,0.6375351493832437,0.8525106392276268,2.5538466835644447,27.111974705708533,1.2509520946303014,360.84781908940863,18.276003786075908,188.88669553155225,42.932878,42.193033,Intermed. Volcanic,Jurassic,Khaishi Limbs,#44AA99
G22049,55.55080448088312,0.9304876461730094,17.996967574948204,8.643960661101712,0.2207184038041648,6.345266793499704,2.362420238751831,6.438842307700253,1.3638682836846032,0.1466636094533991,28.197556792200004,59.7562812,226.9377,15.8895,52.6383,117.5922,19.71779592187361,40.85735023783196,4.89660370919956,18.88618505357584,4.132273256194165,1.1621834549222134,3.764674812836605,0.6201012840126421,3.6096497037181434,0.7626483980399751,2.090689871038096,0.3282620481168065,2.192233804500101,0.3515144680989265,369.413739102168,6.490476662419223,6.8559554450023565,19.85474980947767,2.840798787779946,0.4749962731062808,1.4095614067612197,5.141610021594633,22.55374435718941,0.3144654397450787,171.05576187768528,24.85147218151872,104.20180355988646,42.93676,42.149607,Basalt,Jurassic,Idliani,#117733
G22051,51.06893266410828,1.5866594989328235,20.032680608263824,9.167815455692226,0.1333837203732189,5.056978161476269,7.519307639491374,4.081882488197191,1.0868697406309378,0.2654900228338451,25.14013513115,39.32266268000001,279.08755,18.8055,82.4457,62.71485,13.85401680369417,29.8438174017216,3.959781696032521,17.231439240748692,4.535087972236937,1.4867937852395317,4.894773913296973,0.837865734159268,4.962169299807489,1.0609199214676557,3.022025744221596,0.4505620242025369,2.7179661778418582,0.4378590666069616,189.0460233784988,2.693365224427095,6.140314998731345,28.91098032465018,2.888894816680178,0.435276095227166,0.685778703548995,1.752544396302021,25.26132703579293,1.2292587994095787,377.4435407206415,27.733270134276857,107.90962653202696,42.933595,42.1277,Basalt,Jurassic,Idliani,#117733
G22053,52.23352245003397,1.5228199755710978,18.631556231655733,9.939523051720602,0.1164040400174765,6.219377498833302,6.781306042698492,3.2285909583294803,1.0513570372354732,0.2755427139043828,19.6148864638,36.63996756,251.1181,18.308,36.0986,100.9328,12.724472742778593,28.77425132180648,3.920692952004377,17.537222007399702,4.667131706067032,1.5707741278796674,5.458603947513427,0.9436689502810124,5.771019752941891,1.2374560572878073,3.549969048218549,0.5460513681843275,3.387600913495713,0.533913771862865,138.9276455549487,2.401023322125261,6.265824980488794,33.80304638740573,3.255918369621618,0.4470947982528833,0.6302671682154629,2.880322715344343,18.277274212425475,3.8734131656809776,278.71146575963206,27.10501363470139,124.34733103991611,42.919016,42.083353,Sandstone,Jurassic,Idliani,#117733
G22063,50.34016325310965,0.9666191791891212,20.23408450526395,10.604507873311544,0.1449876160795264,4.501455136959636,10.647962071744669,1.9452329797375063,0.4847300052818419,0.1302573793225353,20.293798,32.475744,307.54,18.62,148.67,99.17,11.239853574556731,24.217222035158738,3.0887545231527707,13.300887128380342,3.4318991775477024,1.0237951719362344,3.82339771919382,0.6631197898153854,4.033413311571874,0.8721240786803016,2.442097388638889,0.3844118196402187,2.38528749907059,0.3953162574195716,148.33837054908568,3.7224865731397543,3.6396081606543778,22.74788828694696,2.265672309819277,0.2791954344925098,1.2340857332258564,9.463184154568024,8.962545927856308,0.5724619822526201,229.80424257464537,35.9757036831079,79.5991295279835,42.902454,42.057646,Basalt,Jurassic,Jvari,#999933
G22065,48.65756320513704,1.0144782220885322,16.585930368337166,13.55200023395771,0.2818981490185265,7.778049335831668,8.117288012383048,3.812988412826732,0.0910763934583753,0.1087276669612027,45.0072011821,100.51029912,407.5719,11.49225,119.17115,144.7924,4.1255489180455145,9.9987735878731,1.4820893270722433,7.452600464051185,2.391961129178242,0.7792751975328199,2.951081818297555,0.5384712823950969,3.3634591843466084,0.740304251133008,2.024072724567592,0.3160064484351724,1.925071588055844,0.3072820858812615,28.78236616503137,1.1989547914240388,1.0488670085802674,19.028567305774352,1.2567591291400753,0.1116453911833363,0.3380502402580988,1.4375660183105148,1.685663985743918,0.6947145182463978,325.8886645551516,47.14712572685611,38.89327616125031,42.882074,42.036058,Mafic Intrusive,Jurassic,Jvari,#999933
G22066,52.5364454318016,1.1323122704772428,17.894325764663698,10.195859419758229,0.2076266471027067,5.601385688908307,7.830976453180451,2.9433524439150456,1.4908932788729845,0.166822601319743,38.6110583992,78.88737304,271.98325,16.80555,54.83445,95.6394,11.8256654708219,27.2884411813081,3.5296120386059147,15.15795600098068,3.883091773323188,1.2062009805809133,4.268413113121948,0.7295473536934258,4.434221959103703,0.9483236141883226,2.722148341423669,0.4156433872979737,2.577622741192135,0.4076303586742602,279.14000638306584,3.509769323336259,4.6278945984523485,26.04954097475085,2.584506395719353,0.3554686835764898,0.8129235151341534,5.417145742654531,29.10624230643319,0.7248415427364525,330.8186166482919,31.36124215907661,93.55946497760684,42.88198,42.035591,Mafic Intrusive,Jurassic,Jvari,#999933
